,0
777,-4440.42777063185
778,-4437.465888293211
779,-4434.50904815061
780,-4431.55723578296
781,-4428.610436826891
782,-4425.668636976465
783,-4422.731821982873
784,-4419.799977654154
785,-4416.873089854892
786,-4413.951144505938
787,-4411.034127584123
788,-4408.122025121961
789,-4405.214823207388
790,-4402.312507983457
791,-4399.415065648078
792,-4396.522482453728
793,-4393.63474470718
794,-4390.751838769231
795,-4387.873751054422
796,-4385.000468030772
797,-4382.131976219513
798,-4379.268262194808
799,-4376.409312583507
800,-4373.555114064859
801,-4370.705653370263
802,-4367.860917283011
803,-4365.020892638012
804,-4362.185566321548
805,-4359.354925271016
806,-4356.528956474664
807,-4353.707646971346
808,-4350.8909838502705
809,-4348.0789542507455
810,-4345.27154536193
811,-4342.468744422595
812,-4339.670538720862
813,-4336.876915593978
814,-4334.087862428053
815,-4331.303366657838
816,-4328.5234157664645
817,-4325.747997285228
818,-4322.977098793331
819,-4320.210707917661
820,-4317.448812332547
821,-4314.691399759539
822,-4311.938457967158
823,-4309.189974770683
824,-4306.445938031914
825,-4303.706335658947
826,-4300.9711556059465
827,-4298.24038587292
828,-4295.5140145055
829,-4292.792029594719
830,-4290.074419276779
831,-4287.361171732852
832,-4284.652275188847
833,-4281.947717915194
834,-4279.247488226635
835,-4276.551574482008
836,-4273.859965084028
837,-4271.1726484790815
838,-4268.489613157015
839,-4265.810847650926
840,-4263.136340536949
841,-4260.4660804340565
842,-4257.800056003851
843,-4255.138255950356
844,-4252.480669019822
845,-4249.827284000515
846,-4247.178089722517
847,-4244.533075057539
848,-4241.892228918697
849,-4239.255540260344
850,-4236.62299807785
851,-4233.994591407422
852,-4231.370309325901
853,-4228.750140950575
854,-4226.134075438982
855,-4223.522101988723
856,-4220.914209837274
857,-4218.310388261791
858,-4215.710626578927
859,-4213.114914144647
860,-4210.523240354042
861,-4207.935594641139
862,-4205.35196647873
863,-4202.772345378171
864,-4200.196720889223
865,-4197.62508259986
866,-4195.057420136087
867,-4192.493723161769
868,-4189.93398137845
869,-4187.378184525178
870,-4184.826322378336
871,-4182.278384751455
872,-4179.734361495054
873,-4177.194242496458
874,-4174.658017679636
875,-4172.125677005025
876,-4169.59721046936
877,-4167.07260810551
878,-4164.5518599823135
879,-4162.034956204396
880,-4159.521886912027
881,-4157.012642280939
882,-4154.507212522178
883,-4152.005587881921
884,-4149.507758641335
885,-4147.013715116405
886,-4144.523447657776
887,-4142.036946650597
888,-4139.554202514355
889,-4137.075205702732
890,-4134.599946703433
891,-4132.128416038039
892,-4129.660604261855
893,-4127.196501963745
894,-4124.7360997659935
895,-4122.279388324144
896,-4119.826358326846
897,-4117.377000495721
898,-4114.931305585184
899,-4112.489264382325
900,-4110.050867706742
901,-4107.6161064104
902,-4105.184971377482
903,-4102.757453524257
904,-4100.33354379891
905,-4097.913233181419
906,-4095.4965126834113
907,-4093.0833733480026
908,-4090.6738062496784
909,-4088.2678024941392
910,-4085.8653532181625
911,-4083.4664495894745
912,-4081.071082806588
913,-4078.679244098692
914,-4076.2909247254966
915,-4073.9061159771027
916,-4071.524809173867
917,-4069.1469956662686
918,-4066.772666834765
919,-4064.401814089678
920,-4062.0344288710376
921,-4059.6705026484733
922,-4057.3100269210668
923,-4054.952993217228
924,-4052.5993930945606
925,-4050.249218139742
926,-4047.9024599683858
927,-4045.559110224922
928,-4043.2191605824596
929,-4040.8826027426753
930,-4038.5494284356696
931,-4036.2196294198598
932,-4033.8931974818433
933,-4031.5701244362817
934,-4029.250402125768
935,-4026.934022420716
936,-4024.620977219234
937,-4022.3112584470045
938,-4020.0048580571533
939,-4017.701768030153
940,-4015.401980373676
941,-4013.1054871225015
942,-4010.812280338379
943,-4008.5223521099256
944,-4006.235694552497
945,-4003.9522998080774
946,-4001.6721600451638
947,-3999.3952674586526
948,-3997.121614269725
949,-3994.8511927257287
950,-3992.583995100072
951,-3990.320013692106
952,-3988.059240827017
953,-3985.801668855716
954,-3983.5472901547187
955,-3981.2960971260495
956,-3979.048082197119
957,-3976.8032378206267
958,-3974.5615564744426
959,-3972.323030661506
960,-3970.0876529097163
961,-3967.8554157718304
962,-3965.6263118253464
963,-3963.4003336724036
964,-3961.1774739396906
965,-3958.957725278312
966,-3956.7410803637154
967,-3954.527531895565
968,-3952.317072597653
969,-3950.109695217787
970,-3947.9053925277035
971,-3945.7041573229412
972,-3943.50598242277
973,-3941.31086067007
974,-3939.1187849312387
975,-3936.9297480960895
976,-3934.7437430777636
977,-3932.560762812614
978,-3930.3808002601227
979,-3928.2038484027944
980,-3926.029900246069
981,-3923.8589488182165
982,-3921.6909871702414
983,-3919.526008375801
984,-3917.3640055310934
985,-3915.204971754771
986,-3913.0489001878504
987,-3910.895783993614
988,-3908.745616357514
989,-3906.598390487092
990,-3904.4540996118776
991,-3902.312736983294
992,-3900.174295874583
993,-3898.0387695806935
994,-3895.9061514182067
995,-3893.7764347252432
